TRADEDATE,fac_TOPEN,fac_THIGH,fac_TLOW,fac_TCLOSE,TVOLUME
2000-05-16 00:00:00.000,893.0132,910.3632,893.0132,905.2602,2877200
2000-05-17 00:00:00.000,904.7499,915.4661,893.0132,900.6676,3121900
2000-05-18 00:00:00.000,900.6676,910.8735,893.0132,909.8529,3197200
2000-05-19 00:00:00.000,912.4043,928.7337,908.3220,913.9352,4138400
2000-05-22 00:00:00.000,915.9764,933.3264,913.9352,922.6102,5673000
2000-05-23 00:00:00.000,922.6102,928.7337,902.1985,926.6926,5432100
2000-05-24 00:00:00.000,926.6926,931.2852,916.4867,922.0999,5690600
2000-05-25 00:00:00.000,923.6308,969.0469,923.6308,951.1866,12227800
2000-05-26 00:00:00.000,959.3513,963.9440,933.8367,934.8573,5853200
2000-05-29 00:00:00.000,934.8573,944.0425,918.5279,932.3058,9564800
2000-05-30 00:00:00.000,937.4087,942.5117,918.5279,921.0793,5287200
2000-05-31 00:00:00.000,920.5690,931.2852,913.4249,918.5279,5416900
2000-06-01 00:00:00.000,919.0382,933.8367,915.9764,921.5896,4400100
2000-06-02 00:00:00.000,921.5896,944.0425,918.5279,928.7337,7168000
2000-06-05 00:00:00.000,928.7337,941.4911,921.0793,923.6308,7560200
2000-06-06 00:00:00.000,926.1823,934.8573,918.5279,931.7955,5862500
2000-06-07 00:00:00.000,933.8367,951.6969,931.7955,944.0425,9672200
2000-06-08 00:00:00.000,949.1455,981.2939,949.1455,954.2484,24044200
2000-06-09 00:00:00.000,963.9440,967.5160,932.8161,936.3881,7045200
2000-06-12 00:00:00.000,933.8367,949.1455,927.7131,943.0219,4421200
2000-06-13 00:00:00.000,944.5528,954.2484,938.9396,948.6352,4509100
2000-06-14 00:00:00.000,954.2484,969.5572,948.6352,953.2278,8789800
2000-06-15 00:00:00.000,953.7381,974.1498,944.0425,958.8410,7636500
2000-06-16 00:00:00.000,958.8410,968.0263,937.9190,943.5322,4688600
2000-06-19 00:00:00.000,944.0425,946.0837,928.7337,932.8161,5046700
2000-06-20 00:00:00.000,932.8161,938.9396,922.0999,928.2234,4820300
2000-06-21 00:00:00.000,930.2646,936.3881,922.6102,930.2646,3167800
2000-06-22 00:00:00.000,930.2646,930.2646,930.2646,930.2646,0
2000-06-23 00:00:00.000,944.0425,944.0425,923.6308,929.7543,4244500
2000-06-26 00:00:00.000,929.7543,934.8573,923.6308,928.7337,6462400
2000-06-27 00:00:00.000,928.7337,933.8367,921.0793,925.1617,7400500
2000-06-28 00:00:00.000,925.1617,933.8367,923.6308,926.1823,4839400
